td_x1_d,adrc_u,eso_z3,eso_z2,esf_e1_d,eso_z1_d,yaw_actual,yaw_dps,yaw_imu_d,yawenc
-171.467,26.0712,-1038.29,2.20929,9.93924,178.594,178.562,-0.165442,-10.3326,70.5537
-171.467,26.1019,-1039.51,2.23568,9.93899,178.594,178.563,-0.287513,-10.3332,70.5427
-171.467,26.1322,-1040.75,2.24991,9.93866,178.594,178.563,-0.104407,-10.3334,70.5427
-171.467,26.1631,-1042.01,2.25283,9.93836,178.595,178.562,-0.0433721,-10.3335,70.5427
-171.467,26.1946,-1043.26,2.26213,9.93809,178.595,178.563,0.261804,-10.333,70.5537
-171.467,26.2257,-1044.5,2.27566,9.93776,178.595,178.563,-0.104407,-10.3332,70.5537
-171.467,26.2567,-1045.64,2.33962,9.93743,178.596,178.566,0.0786982,-10.333,70.5372
-171.467,26.2849,-1046.94,2.32149,9.93672,178.596,178.563,-0.409583,-10.3338,70.5427
-171.467,26.3174,-1048.26,2.29169,9.9364,178.597,178.563,-0.226478,-10.3343,70.5427
-171.467,26.3505,-1049.59,2.25363,9.93618,178.597,178.563,0.200769,-10.3339,70.5482
-171.467,26.3841,-1050.93,2.21788,9.93607,178.597,178.563,0.322839,-10.3332,70.5427
-171.467,26.4177,-1052.27,2.17794,9.93607,178.597,178.563,-0.0433721,-10.3333,70.5427
-171.467,26.4515,-1053.53,2.18412,9.93612,178.597,178.565,-0.165442,-10.3337,70.5427
-171.467,26.4829,-1054.81,2.17976,9.93601,178.597,178.564,-0.836829,-10.3353,70.5427
-171.467,26.5148,-1056.18,2.12641,9.9359,178.597,178.562,-0.958899,-10.3373,70.5482
-171.467,26.5494,-1057.44,2.13187,9.93618,178.597,178.565,-0.409583,-10.3381,70.5537
-171.467,26.5809,-1058.59,2.19357,9.93615,178.597,178.567,0.68905,-10.3367,70.5482
-171.467,26.6094,-1059.77,2.24228,9.93574,178.597,178.567,0.750085,-10.3352,70.5482
-171.467,26.6385,-1060.97,2.27771,9.9353,178.598,178.567,0.444909,-10.3343,70.5482
-171.467,26.6683,-1062.1,2.34761,9.93486,178.599,178.569,0.0176631,-10.3343,70.5482
-171.467,26.6962,-1063.27,2.39446,9.9341,178.599,178.569,-0.165442,-10.3346,70.5427
-171.467,26.7252,-1064.49,2.41095,9.93334,178.6,178.568,0.139733,-10.3343,70.5317
-171.467,26.7558,-1065.9,2.33639,9.93268,178.6,178.564,0.383874,-10.3336,70.5427
-171.467,26.7912,-1067.41,2.20584,9.93254,178.6,178.562,0.505944,-10.3325,70.5427
-171.467,26.8296,-1068.89,2.09162,9.93295,178.599,178.562,0.872155,-10.3308,70.5427
-171.467,26.8674,-1070.36,1.98804,9.93353,178.598,178.562,1.05526,-10.3287,70.5482
-171.467,26.9047,-1071.8,1.9072,9.93426,178.598,178.562,0.750085,-10.3272,70.5482
-171.467,26.941,-1073.19,1.8494,9.93511,178.597,178.562,0.322839,-10.3265,70.5427
-171.467,26.9761,-1074.65,1.75854,9.93596,178.596,178.56,-0.165442,-10.3268,70.5427
-171.467,27.0131,-1076.06,1.69435,9.93716,178.594,178.56,0.68905,-10.3255,70.5427
-171.467,27.0487,-1077.51,1.60852,9.93842,178.593,178.557,0.750085,-10.324,70.5427
-171.467,27.0856,-1078.9,1.55879,9.93989,178.591,178.557,0.68905,-10.3226,70.5482
-171.467,27.1206,-1080.22,1.55132,9.94137,178.59,178.558,0.93319,-10.3207,70.5482
-171.467,27.1535,-1081.46,1.58086,9.94268,178.589,178.558,0.994226,-10.3187,70.5482
-171.467,27.1844,-1082.66,1.63306,9.94372,178.588,178.559,0.0176631,-10.3187,70.5427
-171.467,27.2141,-1083.82,1.70315,9.94459,178.588,178.559,0.505944,-10.3177,70.5427
-171.467,27.2428,-1084.86,1.83359,9.94522,178.587,178.561,1.23837,-10.3152,70.5482
-171.467,27.2682,-1085.71,2.06468,9.9453,178.588,178.566,1.2994,-10.3126,70.5427
-171.467,27.288,-1086.6,2.26382,9.94448,178.589,178.566,0.994226,-10.3106,70.5427
-171.467,27.3093,-1087.74,2.32961,9.94336,178.59,178.56,0.628015,-10.3093,70.5537
-171.467,27.3375,-1088.88,2.39405,9.94268,178.591,178.561,0.872155,-10.3076,70.5482
-171.467,27.3656,-1090.04,2.44538,9.94183,178.592,178.561,0.628015,-10.3063,70.5537
-171.467,27.3944,-1091.21,2.49037,9.94093,178.593,178.562,0.505944,-10.3053,70.5427
-171.467,27.4234,-1092.43,2.51065,9.94,178.594,178.562,1.36044,-10.3026,70.5427
-171.467,27.4537,-1093.67,2.51663,9.9391,178.594,178.562,1.36044,-10.2998,70.5372
-171.467,27.4847,-1095.06,2.44527,9.93825,178.595,178.559,1.36044,-10.2971,70.5482
-171.467,27.5199,-1096.45,2.37644,9.93787,178.595,178.56,0.93319,-10.2952,70.5482
-171.467,27.555,-1097.83,2.31233,9.93765,178.595,178.56,0.81112,-10.2936,70.5427
-171.467,27.5899,-1099.13,2.29464,9.93754,178.595,178.562,0.994226,-10.2916,70.5427
-171.467,27.6224,-1100.43,2.27593,9.93727,178.596,178.562,1.42147,-10.2888,70.5427
-171.467,27.655,-1101.75,2.2487,9.93705,178.596,178.562,1.90975,-10.2849,70.5482
-171.467,27.688,-1103.06,2.22378,9.93694,178.596,178.562,2.39803,-10.2801,70.5482
-171.467,27.721,-1104.37,2.20142,9.93683,178.596,178.563,2.15389,-10.2758,70.5427
-171.467,27.7539,-1105.69,2.17397,9.93678,178.596,178.562,1.84872,-10.2721,70.5427
-171.467,27.787,-1106.99,2.15955,9.93683,178.596,178.563,1.66561,-10.2687,70.5482
-171.467,27.8195,-1108.28,2.14856,9.93683,178.596,178.563,1.97079,-10.2648,70.5427
-171.467,27.8519,-1109.58,2.13276,9.93683,178.596,178.563,2.64217,-10.2595,70.5427
-171.467,27.8845,-1110.89,2.114,9.93691,178.596,178.563,3.06942,-10.2533,70.5537
-171.467,27.9173,-1112.17,2.10944,9.93705,178.596,178.563,3.19149,-10.2469,70.5537
-171.467,27.9493,-1113.47,2.09321,9.93711,178.595,178.563,3.31356,-10.2403,70.5427
-171.467,27.982,-1114.87,2.02831,9.93727,178.595,178.56,3.25253,-10.2338,70.5482
-171.467,28.0173,-1116.14,2.03061,9.93776,178.595,178.563,3.19149,-10.2274,70.5427
-171.467,28.049,-1117.41,2.03289,9.93798,178.595,178.562,3.67977,-10.22,70.5427
-171.467,28.0808,-1118.78,1.98661,9.9382,178.594,178.56,3.74081,-10.2125,70.5427
