td_x1_d,adrc_u,eso_z3,eso_z2,esf_e1_d,eso_z1_d,yaw_actual,yaw_dps,yaw_imu_d,yawenc
-171.467,-250.169,10000,-2.16853,-11.4775,-159.989,-159.954,-0.470618,7.32818,92.0324
-171.467,-250.169,10000,-2.21474,-11.478,-159.989,-159.954,-0.592689,7.32699,92.0324
-171.467,-250.169,10000,-2.26264,-11.4783,-159.988,-159.953,-0.409583,7.32616,92.0324
-171.467,-250.168,10000,-2.31053,-11.4785,-159.988,-159.953,-0.0433721,7.32607,92.0379
-171.467,-250.168,10000,-2.30069,-11.4787,-159.988,-159.95,0.0786982,7.32624,92.0269
-171.467,-250.168,10000,-2.35607,-11.4791,-159.988,-159.953,0.139733,7.32652,92.0214
-171.467,-250.168,10000,-2.47133,-11.4791,-159.988,-159.956,-0.165442,7.32619,92.0269
-171.467,-250.167,10000,-2.57361,-11.4786,-159.989,-159.956,-0.470618,7.32525,92.0214
-171.467,-250.167,10000,-2.71642,-11.4779,-159.99,-159.959,-0.0433721,7.32516,92.0324
-171.467,-250.166,10000,-2.82059,-11.4767,-159.991,-159.958,0.0786982,7.32532,92.0269
-171.467,-250.165,10000,-2.89435,-11.4755,-159.993,-159.958,-0.348548,7.32462,92.0324
-171.467,-250.165,10000,-2.93014,-11.4743,-159.994,-159.958,-0.0433721,7.32454,92.0324
-171.467,-250.165,10000,-2.93128,-11.4731,-159.995,-159.957,-0.226478,7.32408,92.0269
-171.467,-250.165,10000,-2.91045,-11.4721,-159.996,-159.957,-0.226478,7.32363,92.0269
-171.467,-250.165,10000,-2.9192,-11.4712,-159.997,-159.959,0.444909,7.32453,92.0324
-171.467,-250.165,10000,-2.89489,-11.4702,-159.998,-159.959,0.139733,7.32482,92.0269
-171.467,-250.165,10000,-2.851,-11.4694,-159.998,-159.959,-0.165442,7.32448,92.0214
-171.467,-250.165,10000,-2.84765,-11.4688,-159.999,-159.961,-0.348548,7.32378,92.0269
-171.467,-250.165,10000,-2.7728,-11.468,-159.999,-159.959,-0.226478,7.32333,92.0324
-171.467,-250.166,10000,-2.68168,-11.4676,-159.999,-159.958,0.261804,7.32386,92.0269
-171.467,-250.166,10000,-2.58859,-11.4675,-159.999,-159.958,-0.0433721,7.32378,92.0269
-171.467,-250.167,10000,-2.49796,-11.4677,-159.999,-159.958,-0.470618,7.32284,92.0214
-171.467,-250.167,10000,-2.47022,-11.468,-159.999,-159.96,-0.531653,7.32177,92.0214
-171.467,-250.167,10000,-2.44759,-11.4681,-159.999,-159.961,-0.287513,7.3212,92.0324
-171.467,-250.167,10000,-2.36632,-11.4682,-159.998,-159.957,0.322839,7.32186,92.0324
-171.467,-250.168,10000,-2.28869,-11.4688,-159.997,-159.957,0.68905,7.32324,92.0269
-171.467,-250.168,10000,-2.22677,-11.4695,-159.997,-159.957,0.0176631,7.32328,92.0214
-171.467,-250.169,10000,-2.2375,-11.4703,-159.996,-159.96,-0.470618,7.32233,92.0324
-171.467,-250.168,10000,-2.24444,-11.4707,-159.996,-159.959,-0.714759,7.3209,92.0269
-171.467,-250.168,10000,-2.25661,-11.4712,-159.995,-159.959,-0.470618,7.31996,92.0324
-171.467,-250.168,10000,-2.21721,-11.4715,-159.995,-159.956,0.0176631,7.32,92.0379
-171.467,-250.169,10000,-2.08149,-11.4722,-159.993,-159.951,0.139733,7.32028,92.0214
-171.467,-250.169,10000,-2.0428,-11.4737,-159.992,-159.954,0.383874,7.32106,92.0214
-171.467,-250.17,10000,-2.03911,-11.4747,-159.991,-159.954,0.0176631,7.3211,92.0269
-171.467,-250.17,10000,-2.05771,-11.4757,-159.991,-159.954,-0.287513,7.32053,92.0269
-171.467,-250.17,10000,-2.09533,-11.4765,-159.99,-159.955,0.0786982,7.32069,92.0269
-171.467,-250.169,10000,-2.1477,-11.4771,-159.989,-159.955,-0.0433721,7.32061,92.0269
-171.467,-250.169,10000,-2.2109,-11.4776,-159.989,-159.955,0.0176631,7.32065,92.0324
-171.467,-250.169,10000,-2.22447,-11.4778,-159.989,-159.952,-0.0433721,7.32057,92.0324
-171.467,-250.169,10000,-2.24518,-11.4783,-159.988,-159.952,-0.409583,7.31975,92.0269
-171.467,-250.169,10000,-2.27973,-11.4787,-159.988,-159.952,0.0176631,7.31979,92.0269
-171.467,-250.168,10000,-2.32448,-11.479,-159.988,-159.953,-0.104407,7.31959,92.0269
-171.467,-250.168,10000,-2.37561,-11.4791,-159.988,-159.953,-0.348548,7.31889,92.0214
-171.467,-250.168,10000,-2.48586,-11.479,-159.988,-159.956,-0.104407,7.31869,92.0269
-171.467,-250.167,10000,-2.58366,-11.4785,-159.989,-159.956,-0.287513,7.31812,92.0269
-171.467,-250.167,10000,-2.66593,-11.4778,-159.99,-159.956,-0.409583,7.3173,92.0324
-171.467,-250.166,10000,-2.67468,-11.4771,-159.99,-159.953,-0.104407,7.31709,92.0324
