td_x1_d,adrc_u,eso_z3,eso_z2,esf_e1_d,eso_z1_d,yaw_actual,yaw_dps,yaw_imu_d,yawenc
-1.43771,0,0,0,0,-1.43771,-1.43771,0.0176644,-1.43771,104.1
-1.43853,0,0,0,0,-1.43853,-1.43853,-0.409613,-1.43853,104.1
-1.43874,0,0,0,0,-1.43874,-1.43874,-0.104415,-1.43874,104.106
-1.43833,0,0,0,0,-1.43833,-1.43833,0.200783,-1.43833,104.1
-1.43756,0,0,0,0,-1.43756,-1.43756,0.383902,-1.43756,104.1
-1.43765,0,0,0,0,-1.43765,-1.43765,-0.0433753,-1.43765,104.1
-1.43835,0,0,0,0,-1.43835,-1.43835,-0.348574,-1.43835,104.1
-1.43905,0,0,0,0,-1.43905,-1.43905,-0.348574,-1.43905,104.1
-1.43901,0,0,0,0,-1.43901,-1.43901,0.0176644,-1.43901,104.095
-1.43983,0,0,0,0,-1.43983,-1.43983,-0.409613,-1.43983,104.106
-1.44053,0,0,0,0,-1.44053,-1.44053,-0.348574,-1.44053,104.1
-1.44062,0,0,0,0,-1.44062,-1.44062,-0.0433753,-1.44062,104.1
-1.44071,0,0,0,0,-1.44071,-1.44071,-0.0433753,-1.44071,104.106
-1.44055,0,0,0,0,-1.44055,-1.44055,0.078704,-1.44055,104.1
-1.441,0,0,0,0,-1.441,-1.441,-0.226494,-1.441,104.1
-1.44158,0,0,0,0,-1.44158,-1.44158,-0.287534,-1.44158,104.095
-1.44118,0,0,0,0,-1.44118,-1.44118,0.200783,-1.44118,104.1
-1.44041,0,0,0,0,-1.44041,-1.44041,0.383902,-1.44041,104.1
-1.44049,0,0,0,0,-1.44049,-1.44049,-0.0433753,-1.44049,104.089
-1.44181,0,0,0,0,-1.44181,-1.44181,-0.653772,-1.44181,104.095
-1.44165,0,0,0,0,-1.44165,-1.44165,0.078704,-1.44165,104.089
-1.44112,0,0,0,0,-1.44112,-1.44112,0.261823,-1.44112,104.1
-1.44133,0,0,0,0,-1.44133,-1.44133,-0.104415,-1.44133,104.1
