td_x1_d,adrc_u,eso_z3,eso_z2,esf_e1_d,eso_z1_d,yaw_actual,yaw_dps,yaw_imu_d,yawenc
140.546,-0.0811536,3.12424,0.172648,-0.00508166,140.551,140.551,-0.94,22.73,140.549
140.546,-0.0811536,3.12424,0.172648,-0.00508166,140.551,140.551,-0.94,22.73,140.549
140.546,-0.0796526,2.85333,0.0617593,-0.00539585,140.551,140.549,-0.94,22.73,140.549
140.546,-0.0796526,2.85333,0.0617593,-0.00539585,140.551,140.549,-0.94,22.73,140.549
140.546,-0.0720038,2.56473,-0.051894,-0.00524559,140.551,140.548,-0.15,22.72,140.543
140.546,-0.0720038,2.56473,-0.051894,-0.00524559,140.551,140.548,-0.15,22.72,140.543
140.546,-0.0638821,2.41363,-0.10871,-0.00484943,140.55,140.549,0.52,22.73,140.543
140.546,-0.0638821,2.41363,-0.10871,-0.00484943,140.55,140.549,0.52,22.73,140.543
140.546,-0.0596447,2.48714,-0.077353,-0.00446694,140.55,140.551,0.94,22.73,140.549
140.546,-0.0596447,2.48714,-0.077353,-0.00446694,140.55,140.551,0.94,22.73,140.554
140.546,-0.0617259,2.68589,0.000875579,-0.00438498,140.551,140.552,0.58,22.73,140.554
140.546,-0.0617259,2.68589,0.000875579,-0.00438498,140.551,140.552,0.58,22.73,140.554
140.546,-0.0673164,2.80705,0.0465233,-0.00458989,140.551,140.552,-0.27,22.73,140.549
140.546,-0.0673164,2.80705,0.0465233,-0.00458989,140.551,140.552,-0.27,22.73,140.554
140.546,-0.0707116,2.75804,0.0252917,-0.00480845,140.551,140.55,-0.76,22.73,140.554
140.546,-0.0707116,2.75804,0.0252917,-0.00480845,140.551,140.55,-0.76,22.73,140.554
140.546,-0.0693196,2.64369,-0.0202125,-0.00480845,140.551,140.55,-0.33,22.73,140.549
140.546,-0.0693196,2.64369,-0.0202125,-0.00480845,140.551,140.55,-0.33,22.73,140.549
140.546,-0.0660981,2.59604,-0.0384957,-0.00465819,140.551,140.55,0.27,22.73,140.549
140.546,-0.0660981,2.59604,-0.0384957,-0.00465819,140.551,140.55,0.27,22.73,140.549
140.546,-0.064759,2.67772,-0.00654826,-0.00453525,140.551,140.551,0.58,22.73,140.554
140.546,-0.064759,2.67772,-0.00654826,-0.00453525,140.551,140.551,0.58,22.73,140.543
140.546,-0.0670543,2.84925,0.0586639,-0.00460355,140.551,140.552,0.52,22.73,140.543
140.546,-0.0670543,2.84925,0.0586639,-0.00460355,140.551,140.552,0.52,22.73,140.543
140.546,-0.0718653,3.03031,0.125131,-0.00490408,140.551,140.553,0.21,22.73,140.549
140.546,-0.0718653,3.03031,0.125131,-0.00490408,140.551,140.553,0.21,22.73,140.549
140.546,-0.0769297,3.14602,0.164095,-0.00535487,140.552,140.553,-0.09,22.73,140.549
140.546,-0.0769297,3.14602,0.164095,-0.00535487,140.552,140.553,-0.09,22.73,140.549
140.546,-0.0801449,3.1433,0.156202,-0.00581932,140.552,140.552,-0.39,22.73,140.56
140.546,-0.0801449,3.1433,0.156202,-0.00581932,140.552,140.552,-0.39,22.73,140.554
140.546,-0.0800264,3.09156,0.129762,-0.00614717,140.552,140.552,-0.09,22.73,140.554
140.546,-0.0800264,3.09156,0.129762,-0.00614717,140.552,140.552,-0.09,22.73,140.554
140.546,-0.0785332,3.00172,0.0896331,-0.00636574,140.552,140.551,-0.09,22.73,140.554
140.546,-0.0785332,3.00172,0.0896331,-0.00636574,140.552,140.551,-0.09,22.73,140.549
140.546,-0.0759753,2.97585,0.0754491,-0.00646136,140.553,140.552,0.39,22.73,140.549
140.546,-0.0759753,2.97585,0.0754491,-0.00646136,140.553,140.552,0.39,22.73,140.549
140.546,-0.0752221,3.00716,0.0836609,-0.00659796,140.553,140.553,0.39,22.73,140.543
140.546,-0.0752221,3.00716,0.0836609,-0.00659796,140.553,140.553,0.39,22.73,140.549
140.546,-0.0760766,3.03303,0.0894575,-0.00680287,140.553,140.553,0.09,22.73,140.549
140.546,-0.0760766,3.03303,0.0894575,-0.00680287,140.553,140.553,0.09,22.73,140.549
140.546,-0.0767765,3.04256,0.0887508,-0.00702143,140.553,140.553,0.03,22.73,140.554
140.546,-0.0767765,3.04256,0.0887508,-0.00702143,140.553,140.553,0.03,22.73,140.543
140.546,-0.0770159,2.88737,0.0249244,-0.00721268,140.553,140.552,-0.7,22.73,140.543
140.546,-0.0770159,2.88737,0.0249244,-0.00721268,140.553,140.552,-0.7,22.73,140.543
140.546,-0.072631,2.65186,-0.0673612,-0.0071034,140.553,140.551,-0.45,22.73,140.549
140.546,-0.072631,2.65186,-0.0673612,-0.0071034,140.553,140.551,-0.45,22.73,140.549
140.546,-0.0660054,2.43405,-0.149484,-0.00673457,140.552,140.551,-0.09,22.73,140.549
140.546,-0.0660054,2.43405,-0.149484,-0.00673457,140.552,140.551,-0.09,22.73,140.549
140.546,-0.0598963,2.39048,-0.161799,-0.00620181,140.552,140.552,0.58,22.73,140.56
140.546,-0.0598963,2.39048,-0.161799,-0.00620181,140.552,140.552,0.58,22.73,140.549
140.546,-0.058697,2.49803,-0.11571,-0.00581932,140.552,140.553,0.58,22.73,140.549
